model,repeat,target_specificity,total,tp,tn,fp,fn,recall,specificity,precision,accuracy
nested_candidate_variants,1,0.90,8535,42,7775,689,29,0.5915,0.9186,0.0575,0.9159
nested_candidate_variants,1,0.95,8535,33,8072,392,38,0.4648,0.9537,0.0776,0.9496
nested_candidate_variants,1,0.98,8535,24,8309,155,47,0.3380,0.9817,0.1341,0.9763
nested_candidate_variants,1,0.99,8535,20,8385,79,51,0.2817,0.9907,0.2020,0.9848
nested_candidate_variants,2,0.90,8535,42,7775,689,29,0.5915,0.9186,0.0575,0.9159
nested_candidate_variants,2,0.95,8535,32,8052,412,39,0.4507,0.9513,0.0721,0.9472
nested_candidate_variants,2,0.98,8535,24,8330,134,47,0.3380,0.9842,0.1519,0.9788
nested_candidate_variants,2,0.99,8535,19,8384,80,52,0.2676,0.9905,0.1919,0.9845
nested_candidate_variants,3,0.90,8535,42,7789,675,29,0.5915,0.9203,0.0586,0.9175
nested_candidate_variants,3,0.95,8535,34,8063,401,37,0.4789,0.9526,0.0782,0.9487
nested_candidate_variants,3,0.98,8535,25,8316,148,46,0.3521,0.9825,0.1445,0.9773
nested_candidate_variants,3,0.99,8535,20,8388,76,51,0.2817,0.9910,0.2083,0.9851
nested_candidate_variants,4,0.90,8535,39,7804,660,32,0.5493,0.9220,0.0558,0.9189
nested_candidate_variants,4,0.95,8535,32,8072,392,39,0.4507,0.9537,0.0755,0.9495
nested_candidate_variants,4,0.98,8535,25,8313,151,46,0.3521,0.9822,0.1420,0.9769
nested_candidate_variants,4,0.99,8535,20,8383,81,51,0.2817,0.9904,0.1980,0.9845
nested_candidate_variants,5,0.90,8535,40,7781,683,31,0.5634,0.9193,0.0553,0.9163
nested_candidate_variants,5,0.95,8535,31,8063,401,40,0.4366,0.9526,0.0718,0.9483
nested_candidate_variants,5,0.98,8535,25,8318,146,46,0.3521,0.9828,0.1462,0.9775
nested_candidate_variants,5,0.99,8535,19,8388,76,52,0.2676,0.9910,0.2000,0.9850
reference_no_secondary,1,0.90,8535,34,7929,535,37,0.4789,0.9368,0.0598,0.9330
reference_no_secondary,1,0.95,8535,29,8074,390,42,0.4085,0.9539,0.0692,0.9494
reference_no_secondary,1,0.98,8535,23,8314,150,48,0.3239,0.9823,0.1329,0.9768
reference_no_secondary,1,0.99,8535,20,8385,79,51,0.2817,0.9907,0.2020,0.9848
reference_no_secondary,2,0.90,8535,34,7914,550,37,0.4789,0.9350,0.0582,0.9312
reference_no_secondary,2,0.95,8535,29,8051,413,42,0.4085,0.9512,0.0656,0.9467
reference_no_secondary,2,0.98,8535,23,8325,139,48,0.3239,0.9836,0.1420,0.9781
reference_no_secondary,2,0.99,8535,19,8384,80,52,0.2676,0.9905,0.1919,0.9845
reference_no_secondary,3,0.90,8535,34,7923,541,37,0.4789,0.9361,0.0591,0.9323
reference_no_secondary,3,0.95,8535,29,8067,397,42,0.4085,0.9531,0.0681,0.9486
reference_no_secondary,3,0.98,8535,23,8317,147,48,0.3239,0.9826,0.1353,0.9772
reference_no_secondary,3,0.99,8535,20,8388,76,51,0.2817,0.9910,0.2083,0.9851
reference_no_secondary,4,0.90,8535,33,7960,504,38,0.4648,0.9405,0.0615,0.9365
reference_no_secondary,4,0.95,8535,29,8076,388,42,0.4085,0.9542,0.0695,0.9496
reference_no_secondary,4,0.98,8535,22,8326,138,49,0.3099,0.9837,0.1375,0.9781
reference_no_secondary,4,0.99,8535,20,8383,81,51,0.2817,0.9904,0.1980,0.9845
reference_no_secondary,5,0.90,8535,32,7931,533,39,0.4507,0.9370,0.0566,0.9330
reference_no_secondary,5,0.95,8535,29,8071,393,42,0.4085,0.9536,0.0687,0.9490
reference_no_secondary,5,0.98,8535,22,8337,127,49,0.3099,0.9850,0.1477,0.9794
reference_no_secondary,5,0.99,8535,19,8388,76,52,0.2676,0.9910,0.2000,0.9850
