analysis,method_a,method_b,statistic,value
common_8375,all,all,cochran_q_sensitivity,30.2000
common_8375,all,all,cochran_q_specificity,89.2432
common_8375,AMR,TBP,mcnemar_sens_holm,0.480682
common_8375,AMR,CAT,mcnemar_sens_holm,0.000008
common_8375,TBP,CAT,mcnemar_sens_holm,0.000001
common_8375,AMR,TBP,mcnemar_spec_holm,0.101136
common_8375,AMR,CAT,mcnemar_spec_holm,0.000000
common_8375,TBP,CAT,mcnemar_spec_holm,0.000000
common_8375,AMR,,tp,24
common_8375,AMR,,tn,8223
common_8375,AMR,,fp,81
common_8375,AMR,,fn,47
common_8375,TBP,,tp,28
common_8375,TBP,,tn,8207
common_8375,TBP,,fp,97
common_8375,TBP,,fn,43
common_8375,CAT,,tp,5
common_8375,CAT,,tn,8284
common_8375,CAT,,fp,20
common_8375,CAT,,fn,66
