combination,carrier_total,r_carriers,s_carriers,fn_carriers,r_fraction_among_carriers,r_recall_gap_fraction,odds_ratio_haldane,fisher_one_sided_p
context:mtrB_Met517Leu,7889,67,7822,45,0.0085,0.6338,1.232,0.3679
gene:mtrB,7897,67,7830,45,0.0085,0.6338,1.215,0.3791
context:mtrB_Met517Leu_plus_secondary_gene,2074,39,2035,24,0.0188,0.3380,3.839,2.698e-08
gene_pair:glpK+mtrB,1366,22,1344,15,0.0161,0.2113,2.407,0.001179
gene:glpK,1390,22,1368,15,0.0158,0.2113,2.357,0.001489
context:mtrB_Pro18Ser,2896,17,2879,12,0.0059,0.1690,0.6229,0.9748
context:mtrB_double_hit,2896,17,2879,12,0.0059,0.1690,0.6229,0.9748
gene_pair:Rv1979c+mtrB,539,19,520,11,0.0353,0.1549,5.669,4.646e-08
gene:Rv1979c,675,19,656,11,0.0281,0.1549,4.418,1.543e-06
gene_pair:Rv1979c+glpK,82,3,79,3,0.0366,0.0423,5.389,0.03061
gene_pair:Rv0678+mtrB,159,2,157,2,0.0126,0.0282,1.897,0.3827
gene:Rv0678,190,2,188,2,0.0105,0.0282,1.579,0.4717
context:mtrB_Met517Leu_plus_core_gene,229,2,227,2,0.0087,0.0282,1.302,0.5722
gene_pair:Rv0678+Rv1979c,36,1,35,1,0.0278,0.0141,5.052,0.2602
gene_pair:mmpL5+mtrB,369,2,367,1,0.0054,0.0141,0.7926,0.8187
gene:mmpL5,390,2,388,1,0.0051,0.0141,0.7478,0.8422
gene_pair:glpK+mmpL5,136,1,135,0,0.0074,0.0000,1.308,0.6818
gene_pair:Rv1979c+pepQ,2,0,2,0,0.0000,0.0000,23.67,1
gene_pair:atpE+mmpL5,2,0,2,0,0.0000,0.0000,23.67,1
gene_pair:mmpL5+pepQ,2,0,2,0,0.0000,0.0000,23.67,1
gene_pair:Rv1979c+atpE,4,0,4,0,0.0000,0.0000,13.15,1
gene_pair:glpK+mtrA,4,0,4,0,0.0000,0.0000,13.15,1
gene_pair:atpE+glpK,5,0,5,0,0.0000,0.0000,10.76,1
gene_pair:mmpL5+mtrA,5,0,5,0,0.0000,0.0000,10.76,1
gene_pair:Rv1979c+mmpS5,6,0,6,0,0.0000,0.0000,9.1,1
gene_pair:Rv0678+mmpL5,8,0,8,0,0.0000,0.0000,6.957,1
gene_pair:atpE+mtrB,10,0,10,0,0.0000,0.0000,5.631,1
gene_pair:Rv1979c+mmpL5,16,0,16,0,0.0000,0.0000,3.581,1
gene_pair:mmpL5+mmpS5,18,0,18,0,0.0000,0.0000,3.193,1
gene_pair:glpK+pepQ,22,0,22,0,0.0000,0.0000,2.624,1
gene:mtrA,28,0,28,0,0.0000,0.0000,2.07,1
gene_pair:mtrA+mtrB,28,0,28,0,0.0000,0.0000,2.07,1
gene_pair:Rv0678+mmpS5,29,0,29,0,0.0000,0.0000,2,1
gene_pair:glpK+mmpS5,32,0,32,0,0.0000,0.0000,1.814,1
gene:atpE,33,0,33,0,0.0000,0.0000,1.76,1
gene_pair:Rv0678+glpK,42,0,42,0,0.0000,0.0000,1.386,1
gene_pair:mmpS5+mtrB,58,0,58,0,0.0000,0.0000,1.005,1
gene:mmpS5,61,0,61,0,0.0000,0.0000,0.9555,1
gene_pair:mtrB+pepQ,62,0,62,0,0.0000,0.0000,0.9401,1
gene:pepQ,78,0,78,0,0.0000,0.0000,0.7471,1
