group,total_isolates,phenotype_r,phenotype_s,r_fraction,baseline_pred_R,baseline_pred_S,baseline_pred_UNKNOWN,five_level_R,five_level_Likely_R,five_level_Indeterminate,five_level_Likely_S,five_level_S,mic_bins_all,mic_bins_r
all,8535,71,8464,0.0083,180,8326,29,25,42,440,7635,393,0.5:48;1.0:12;2.0:2;<=0.25:8464;>1_to_2:4;>2:5,0.5:48;1.0:12;2.0:2;>1_to_2:4;>2:5
mtrB_context_any,7889,67,7822,0.0085,171,7715,3,23,42,338,7486,0,0.5:44;1.0:12;2.0:2;<=0.25:7822;>1_to_2:4;>2:5,0.5:44;1.0:12;2.0:2;>1_to_2:4;>2:5
mtrB_context_absent,646,4,642,0.0062,9,611,26,2,0,102,149,393,0.5:4;<=0.25:642,0.5:4
mtrB_Met517Leu,7889,67,7822,0.0085,171,7715,3,23,42,338,7486,0,0.5:44;1.0:12;2.0:2;<=0.25:7822;>1_to_2:4;>2:5,0.5:44;1.0:12;2.0:2;>1_to_2:4;>2:5
mtrB_Pro18Ser,2896,17,2879,0.0059,47,2849,0,10,9,127,2750,0,0.5:11;1.0:2;2.0:1;<=0.25:2879;>1_to_2:1;>2:2,0.5:11;1.0:2;2.0:1;>1_to_2:1;>2:2
mtrB_double_hit,2896,17,2879,0.0059,47,2849,0,10,9,127,2750,0,0.5:11;1.0:2;2.0:1;<=0.25:2879;>1_to_2:1;>2:2,0.5:11;1.0:2;2.0:1;>1_to_2:1;>2:2
mtrB_Met517Leu_only,4993,50,4943,0.0100,124,4866,3,13,33,211,4736,0,0.5:33;1.0:10;2.0:1;<=0.25:4943;>1_to_2:3;>2:3,0.5:33;1.0:10;2.0:1;>1_to_2:3;>2:3
mtrB_Met517Leu_plus_core_unsupported,229,2,227,0.0087,8,221,0,2,2,225,0,0,0.5:1;1.0:1;<=0.25:227,0.5:1;1.0:1
mtrB_Met517Leu_plus_secondary_unsupported,2074,39,2035,0.0188,72,1999,3,12,23,132,1907,0,0.5:30;1.0:8;2.0:1;<=0.25:2035,0.5:30;1.0:8;2.0:1
mtrB_double_hit_plus_secondary_unsupported,353,1,352,0.0028,3,350,0,0,1,18,334,0,0.5:1;<=0.25:352,0.5:1
