model,target_specificity,folds,repeats,total_predictions,tp,tn,fp,fn,recall,specificity,precision,accuracy,mean_threshold
all_features,0.99,5,5,42675,94,41943,377,261,0.2648,0.9911,0.1996,0.9850,14.264497
all_features,0.98,5,5,42675,110,41579,741,245,0.3099,0.9825,0.1293,0.9769,5.728229
all_features,0.95,5,5,42675,146,40347,1973,209,0.4113,0.9534,0.0689,0.9489,-1.750962
all_features,0.90,5,5,42675,165,39104,3216,190,0.4648,0.9240,0.0488,0.9202,-3.582212
baseline_only,0.99,5,5,42675,0,42320,0,355,0.0000,1.0000,,0.9917,inf
baseline_only,0.98,5,5,42675,115,41535,785,240,0.3239,0.9815,0.1278,0.9760,0.791251
baseline_only,0.95,5,5,42675,115,41535,785,240,0.3239,0.9815,0.1278,0.9760,0.791251
baseline_only,0.90,5,5,42675,115,41535,785,240,0.3239,0.9815,0.1278,0.9760,0.791251
no_mtrb,0.99,5,5,42675,99,41927,393,256,0.2789,0.9907,0.2012,0.9848,13.749039
no_mtrb,0.98,5,5,42675,110,41584,736,245,0.3099,0.9826,0.1300,0.9770,6.198895
no_mtrb,0.95,5,5,42675,141,40431,1889,214,0.3972,0.9554,0.0695,0.9507,-1.843515
no_mtrb,0.90,5,5,42675,173,39558,2762,182,0.4873,0.9347,0.0589,0.9310,-4.048699
no_secondary,0.99,5,5,42675,99,41926,394,256,0.2789,0.9907,0.2008,0.9848,14.538511
no_secondary,0.98,5,5,42675,114,41606,714,241,0.3211,0.9831,0.1377,0.9776,3.639753
no_secondary,0.95,5,5,42675,147,40384,1936,208,0.4141,0.9543,0.0706,0.9498,-2.383711
no_secondary,0.90,5,5,42675,170,38586,3734,185,0.4789,0.9118,0.0435,0.9082,-5.843745
no_core,0.99,5,5,42675,70,41995,325,285,0.1972,0.9923,0.1772,0.9857,9.063860
no_core,0.98,5,5,42675,103,41528,792,252,0.2901,0.9813,0.1151,0.9755,2.726434
no_core,0.95,5,5,42675,129,40759,1561,226,0.3634,0.9631,0.0763,0.9581,-0.798453
no_core,0.90,5,5,42675,140,38929,3391,215,0.3944,0.9199,0.0396,0.9155,-2.217965
