model,feature,feature_group,mean_present_log_odds_weight
all_features,gene_atpE_frameshift,core,4.746610
all_features,gene_lpqB_frameshift,secondary,4.746610
all_features,gene_lpqB_present,secondary,4.746610
all_features,gene_lpqB_r_call,secondary,4.746610
all_features,gene_lpqB_unsupported,secondary,4.746610
all_features,gene_mmpL5_r_call,secondary,4.746610
all_features,gene_mmpS5_r_call,secondary,4.746610
all_features,gene_mtrA_frameshift,context,4.746610
all_features,r_call_count_ge_2,burden,4.746610
all_features,gene_pepQ_frameshift,core,4.364702
all_features,gene_mtrB_frameshift,context,4.192093
all_features,gene_atpE_r_call,core,4.101577
all_features,consequence_r_count_ge_1,burden,3.794964
all_features,gene_Rv0678_r_call,core,3.561578
all_features,direct_r_count_ge_1,burden,3.512624
all_features,core_r_call,core,3.388047
all_features,gene_mtrA_r_call,context,3.343181
all_features,gene_mmpS5_frameshift,secondary,3.328595
all_features,gene_Rv0678_frameshift,core,3.088908
all_features,gene_Rv1979c_r_call,secondary,3.030097
all_features,baseline_pred_R,baseline,2.868460
all_features,r_call_count_ge_1,burden,2.868460
all_features,gene_pepQ_r_call,core,2.575282
all_features,gene_Rv0678_present,core,2.459535
all_features,snapshot_r_count_ge_1,burden,2.183136
all_features,secondary_r_call,secondary,2.096544
all_features,gene_atpE_present,core,2.096246
all_features,core_present,core,2.027233
all_features,gene_glpK_r_call,secondary,1.992690
all_features,gene_mtrB_r_call,context,1.873174
all_features,context_r_call,context,1.708386
all_features,gene_mtrA_unsupported,context,1.598476
all_features,baseline_pred_UNKNOWN,baseline,1.563832
all_features,gene_Rv1979c_frameshift,secondary,1.471167
all_features,gene_atpE_unsupported,core,1.440092
all_features,gene_Rv1979c_unsupported,secondary,1.261077
all_features,gene_mmpL5_frameshift,secondary,0.924477
all_features,gene_mtrA_present,context,0.924470
all_features,gene_glpK_frameshift,secondary,0.897932
all_features,gene_mmpS5_unsupported,secondary,0.840699
all_features,mtrB_Met517Leu_plus_secondary,mtrb,0.821794
all_features,secondary_unsupported,secondary,0.742069
all_features,gene_glpK_present,secondary,0.686122
all_features,gene_glpK_unsupported,secondary,0.666875
all_features,gene_Rv0678_unsupported,core,0.652342
all_features,gene_Rv1979c_present,secondary,0.638115
all_features,unsupported_count_ge_3,burden,0.621301
all_features,gene_pepQ_unsupported,core,0.599168
all_features,gene_mmpS5_present,secondary,0.553827
all_features,mtrB_Met517Leu_plus_core,mtrb,0.464937
all_features,gene_pepQ_present,core,0.411291
all_features,variant_count_ge_4,burden,0.394617
all_features,baseline_pred_S,baseline,-0.378665
all_features,variant_count_ge_6,burden,0.362268
all_features,mtrB_Pro18Ser,mtrb,-0.318045
all_features,mtrB_double_hit,mtrb,-0.318045
all_features,unsupported_count_ge_2,burden,0.302734
all_features,core_unsupported,core,0.197301
all_features,gene_mmpL5_unsupported,secondary,-0.069295
all_features,unsupported_count_ge_1,burden,-0.023378
