model,repeat,target_specificity,total,tp,tn,fp,fn,recall,specificity,precision,accuracy
all_features,1,0.90,8535,32,7865,599,39,0.4507,0.9292,0.0507,0.9252
all_features,1,0.95,8535,30,8056,408,41,0.4225,0.9518,0.0685,0.9474
all_features,1,0.98,8535,22,8318,146,49,0.3099,0.9828,0.1310,0.9772
all_features,1,0.99,8535,20,8387,77,51,0.2817,0.9909,0.2062,0.9850
all_features,2,0.90,8535,32,7891,573,39,0.4507,0.9323,0.0529,0.9283
all_features,2,0.95,8535,29,8094,370,42,0.4085,0.9563,0.0727,0.9517
all_features,2,0.98,8535,22,8314,150,49,0.3099,0.9823,0.1279,0.9767
all_features,2,0.99,8535,19,8382,82,52,0.2676,0.9903,0.1881,0.9843
all_features,3,0.90,8535,35,7694,770,36,0.4930,0.9090,0.0435,0.9056
all_features,3,0.95,8535,28,8073,391,43,0.3944,0.9538,0.0668,0.9492
all_features,3,0.98,8535,22,8316,148,49,0.3099,0.9825,0.1294,0.9769
all_features,3,0.99,8535,17,8403,61,54,0.2394,0.9928,0.2179,0.9865
all_features,4,0.90,8535,33,7806,658,38,0.4648,0.9223,0.0478,0.9185
all_features,4,0.95,8535,30,8071,393,41,0.4225,0.9536,0.0709,0.9492
all_features,4,0.98,8535,22,8316,148,49,0.3099,0.9825,0.1294,0.9769
all_features,4,0.99,8535,19,8384,80,52,0.2676,0.9905,0.1919,0.9845
all_features,5,0.90,8535,33,7848,616,38,0.4648,0.9272,0.0508,0.9234
all_features,5,0.95,8535,29,8053,411,42,0.4085,0.9514,0.0659,0.9469
all_features,5,0.98,8535,22,8315,149,49,0.3099,0.9824,0.1287,0.9768
all_features,5,0.99,8535,19,8387,77,52,0.2676,0.9909,0.1979,0.9849
baseline_only,1,0.90,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,1,0.95,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,1,0.98,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,1,0.99,8535,0,8464,0,71,0.0000,1.0000,,0.9917
baseline_only,2,0.90,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,2,0.95,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,2,0.98,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,2,0.99,8535,0,8464,0,71,0.0000,1.0000,,0.9917
baseline_only,3,0.90,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,3,0.95,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,3,0.98,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,3,0.99,8535,0,8464,0,71,0.0000,1.0000,,0.9917
baseline_only,4,0.90,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,4,0.95,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,4,0.98,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,4,0.99,8535,0,8464,0,71,0.0000,1.0000,,0.9917
baseline_only,5,0.90,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,5,0.95,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,5,0.98,8535,23,8307,157,48,0.3239,0.9815,0.1278,0.9760
baseline_only,5,0.99,8535,0,8464,0,71,0.0000,1.0000,,0.9917
no_core,1,0.90,8535,29,7773,691,42,0.4085,0.9184,0.0403,0.9141
no_core,1,0.95,8535,26,8147,317,45,0.3662,0.9625,0.0758,0.9576
no_core,1,0.98,8535,21,8312,152,50,0.2958,0.9820,0.1214,0.9763
no_core,1,0.99,8535,13,8396,68,58,0.1831,0.9920,0.1605,0.9852
no_core,2,0.90,8535,27,7899,565,44,0.3803,0.9332,0.0456,0.9286
no_core,2,0.95,8535,26,8144,320,45,0.3662,0.9622,0.0751,0.9572
no_core,2,0.98,8535,21,8301,163,50,0.2958,0.9807,0.1141,0.9750
no_core,2,0.99,8535,14,8403,61,57,0.1972,0.9928,0.1867,0.9862
no_core,3,0.90,8535,28,7716,748,43,0.3944,0.9116,0.0361,0.9073
no_core,3,0.95,8535,26,8133,331,45,0.3662,0.9609,0.0728,0.9559
no_core,3,0.98,8535,21,8311,153,50,0.2958,0.9819,0.1207,0.9762
no_core,3,0.99,8535,15,8393,71,56,0.2113,0.9916,0.1744,0.9851
no_core,4,0.90,8535,28,7791,673,43,0.3944,0.9205,0.0399,0.9161
no_core,4,0.95,8535,26,8168,296,45,0.3662,0.9650,0.0807,0.9600
no_core,4,0.98,8535,20,8301,163,51,0.2817,0.9807,0.1093,0.9749
no_core,4,0.99,8535,14,8393,71,57,0.1972,0.9916,0.1647,0.9850
no_core,5,0.90,8535,28,7750,714,43,0.3944,0.9156,0.0377,0.9113
no_core,5,0.95,8535,25,8167,297,46,0.3521,0.9649,0.0776,0.9598
no_core,5,0.98,8535,20,8303,161,51,0.2817,0.9810,0.1105,0.9752
no_core,5,0.99,8535,14,8410,54,57,0.1972,0.9936,0.2059,0.9870
no_mtrb,1,0.90,8535,35,7910,554,36,0.4930,0.9345,0.0594,0.9309
no_mtrb,1,0.95,8535,28,8086,378,43,0.3944,0.9553,0.0690,0.9507
no_mtrb,1,0.98,8535,22,8322,142,49,0.3099,0.9832,0.1341,0.9776
no_mtrb,1,0.99,8535,20,8382,82,51,0.2817,0.9903,0.1961,0.9844
no_mtrb,2,0.90,8535,35,7889,575,36,0.4930,0.9321,0.0574,0.9284
no_mtrb,2,0.95,8535,28,8088,376,43,0.3944,0.9556,0.0693,0.9509
no_mtrb,2,0.98,8535,21,8326,138,50,0.2958,0.9837,0.1321,0.9780
no_mtrb,2,0.99,8535,20,8384,80,51,0.2817,0.9905,0.2000,0.9847
no_mtrb,3,0.90,8535,36,7845,619,35,0.5070,0.9269,0.0550,0.9234
no_mtrb,3,0.95,8535,28,8086,378,43,0.3944,0.9553,0.0690,0.9507
no_mtrb,3,0.98,8535,22,8309,155,49,0.3099,0.9817,0.1243,0.9761
no_mtrb,3,0.99,8535,20,8390,74,51,0.2817,0.9913,0.2128,0.9854
no_mtrb,4,0.90,8535,34,7965,499,37,0.4789,0.9410,0.0638,0.9372
no_mtrb,4,0.95,8535,29,8086,378,42,0.4085,0.9553,0.0713,0.9508
no_mtrb,4,0.98,8535,22,8312,152,49,0.3099,0.9820,0.1264,0.9764
no_mtrb,4,0.99,8535,20,8390,74,51,0.2817,0.9913,0.2128,0.9854
no_mtrb,5,0.90,8535,33,7949,515,38,0.4648,0.9392,0.0602,0.9352
no_mtrb,5,0.95,8535,28,8085,379,43,0.3944,0.9552,0.0688,0.9506
no_mtrb,5,0.98,8535,23,8315,149,48,0.3239,0.9824,0.1337,0.9769
no_mtrb,5,0.99,8535,19,8381,83,52,0.2676,0.9902,0.1863,0.9842
no_secondary,1,0.90,8535,34,7714,750,37,0.4789,0.9114,0.0434,0.9078
no_secondary,1,0.95,8535,29,8089,375,42,0.4085,0.9557,0.0718,0.9511
no_secondary,1,0.98,8535,23,8316,148,48,0.3239,0.9825,0.1345,0.9770
no_secondary,1,0.99,8535,21,8383,81,50,0.2958,0.9904,0.2059,0.9847
no_secondary,2,0.90,8535,34,7721,743,37,0.4789,0.9122,0.0438,0.9086
no_secondary,2,0.95,8535,29,8062,402,42,0.4085,0.9525,0.0673,0.9480
no_secondary,2,0.98,8535,23,8327,137,48,0.3239,0.9838,0.1437,0.9783
no_secondary,2,0.99,8535,19,8384,80,52,0.2676,0.9905,0.1919,0.9845
no_secondary,3,0.90,8535,34,7725,739,37,0.4789,0.9127,0.0440,0.9091
no_secondary,3,0.95,8535,31,8069,395,40,0.4366,0.9533,0.0728,0.9490
no_secondary,3,0.98,8535,23,8317,147,48,0.3239,0.9826,0.1353,0.9772
no_secondary,3,0.99,8535,20,8388,76,51,0.2817,0.9910,0.2083,0.9851
no_secondary,4,0.90,8535,34,7714,750,37,0.4789,0.9114,0.0434,0.9078
no_secondary,4,0.95,8535,29,8084,380,42,0.4085,0.9551,0.0709,0.9506
no_secondary,4,0.98,8535,22,8326,138,49,0.3099,0.9837,0.1375,0.9781
no_secondary,4,0.99,8535,20,8383,81,51,0.2817,0.9904,0.1980,0.9845
no_secondary,5,0.90,8535,34,7712,752,37,0.4789,0.9112,0.0433,0.9076
no_secondary,5,0.95,8535,29,8080,384,42,0.4085,0.9546,0.0702,0.9501
no_secondary,5,0.98,8535,23,8320,144,48,0.3239,0.9830,0.1377,0.9775
no_secondary,5,0.99,8535,19,8388,76,52,0.2676,0.9910,0.2000,0.9850
