model,target_specificity,repeats,recall_mean,recall_sd,recall_min,recall_max,specificity_mean,specificity_sd,specificity_min,specificity_max,precision_mean,precision_sd,precision_min,precision_max,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max
all_features,0.90,5,0.4648,0.0173,0.4507,0.4930,0.9240,0.0091,0.9090,0.9323,0.0491,0.0036,0.0435,0.0529,0.9202,0.0089,0.9056,0.9283
all_features,0.95,5,0.4113,0.0117,0.3944,0.4225,0.9534,0.0019,0.9514,0.9563,0.0690,0.0028,0.0659,0.0727,0.9489,0.0019,0.9469,0.9517
all_features,0.98,5,0.3099,0.0000,0.3099,0.3099,0.9825,0.0002,0.9823,0.9828,0.1293,0.0011,0.1279,0.1310,0.9769,0.0002,0.9767,0.9772
all_features,0.99,5,0.2648,0.0154,0.2394,0.2817,0.9911,0.0010,0.9903,0.9928,0.2004,0.0119,0.1881,0.2179,0.9850,0.0009,0.9843,0.9865
baseline_only,0.90,5,0.3239,0.0000,0.3239,0.3239,0.9815,0.0000,0.9815,0.9815,0.1278,0.0000,0.1278,0.1278,0.9760,0.0000,0.9760,0.9760
baseline_only,0.95,5,0.3239,0.0000,0.3239,0.3239,0.9815,0.0000,0.9815,0.9815,0.1278,0.0000,0.1278,0.1278,0.9760,0.0000,0.9760,0.9760
baseline_only,0.98,5,0.3239,0.0000,0.3239,0.3239,0.9815,0.0000,0.9815,0.9815,0.1278,0.0000,0.1278,0.1278,0.9760,0.0000,0.9760,0.9760
baseline_only,0.99,5,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,,,,,0.9917,0.0000,0.9917,0.9917
no_core,0.90,5,0.3944,0.0100,0.3803,0.4085,0.9199,0.0082,0.9116,0.9332,0.0399,0.0036,0.0361,0.0456,0.9155,0.0080,0.9073,0.9286
no_core,0.95,5,0.3634,0.0063,0.3521,0.3662,0.9631,0.0018,0.9609,0.9650,0.0764,0.0030,0.0728,0.0807,0.9581,0.0018,0.9559,0.9600
no_core,0.98,5,0.2902,0.0077,0.2817,0.2958,0.9813,0.0006,0.9807,0.9820,0.1152,0.0056,0.1093,0.1214,0.9755,0.0007,0.9749,0.9763
no_core,0.99,5,0.1972,0.0100,0.1831,0.2113,0.9923,0.0009,0.9916,0.9936,0.1784,0.0184,0.1605,0.2059,0.9857,0.0009,0.9850,0.9870
no_mtrb,0.90,5,0.4873,0.0160,0.4648,0.5070,0.9347,0.0056,0.9269,0.9410,0.0592,0.0033,0.0550,0.0638,0.9310,0.0055,0.9234,0.9372
no_mtrb,0.95,5,0.3972,0.0063,0.3944,0.4085,0.9553,0.0002,0.9552,0.9556,0.0695,0.0010,0.0688,0.0713,0.9507,0.0001,0.9506,0.9509
no_mtrb,0.98,5,0.3099,0.0099,0.2958,0.3239,0.9826,0.0008,0.9817,0.9837,0.1301,0.0045,0.1243,0.1341,0.9770,0.0008,0.9761,0.9780
no_mtrb,0.99,5,0.2789,0.0063,0.2676,0.2817,0.9907,0.0005,0.9902,0.9913,0.2016,0.0114,0.1863,0.2128,0.9848,0.0006,0.9842,0.9854
no_secondary,0.90,5,0.4789,0.0000,0.4789,0.4789,0.9118,0.0006,0.9112,0.9127,0.0436,0.0003,0.0433,0.0440,0.9082,0.0006,0.9076,0.9091
no_secondary,0.95,5,0.4141,0.0126,0.4085,0.4366,0.9542,0.0013,0.9525,0.9557,0.0706,0.0021,0.0673,0.0728,0.9498,0.0013,0.9480,0.9511
no_secondary,0.98,5,0.3211,0.0063,0.3099,0.3239,0.9831,0.0006,0.9825,0.9838,0.1377,0.0036,0.1345,0.1437,0.9776,0.0006,0.9770,0.9783
no_secondary,0.99,5,0.2789,0.0118,0.2676,0.2958,0.9907,0.0003,0.9904,0.9910,0.2008,0.0065,0.1919,0.2083,0.9848,0.0003,0.9845,0.9851
