dataset,metric,value,notes
CRyPTIC,total_rows,12287,
CRyPTIC,bdq_binary_phenotype_r,109,
CRyPTIC,bdq_binary_phenotype_s,11957,
CRyPTIC,bdq_binary_phenotype_missing,221,
CRyPTIC,bdq_mic_available,12066,
CRyPTIC,bdq_mic_missing,221,
CRyPTIC,vcf_available,12287,
CRyPTIC,vcf_missing,0,
CRyPTIC,quality_passing_r,109,
CRyPTIC,quality_passing_s,11957,
CRyPTIC,quality_passing_with_vcf_r,109,
CRyPTIC,quality_passing_with_vcf_s,11957,
CRyPTIC,high_quality_r,71,
CRyPTIC,high_quality_s,8464,
CRyPTIC,high_quality_with_vcf_r,71,
CRyPTIC,high_quality_with_vcf_s,8464,
CRyPTIC,bdq_quality_high,8535,
CRyPTIC,bdq_quality_low,2177,
CRyPTIC,bdq_quality_medium,1354,
CRyPTIC,bdq_quality_na,221,
CRyPTIC,validation_feasibility,feasible,At least one quality-passing R and S isolate with VCF is available.
