gene,benchmark_role,total_rows,coding_substitution_rows,truncating_rows,synonymous_or_same_rows,regulatory_rows,other_rows,resistant_rows,sensitive_rows,unknown_rows,completed_rows,loss_of_function_rows,top_evidence_codes,paper_use
Rv0678,primary_bdq,1573,239,45,754,535,0,813,760,0,757,816,NEGATIVE_LOF_REVIEWED:768;SYNONYMOUS_NO_PROTEIN_CHANGE:754;NEGATIVE_LOF_SIGNATURE:45;NEGATIVE_FUNCTION_RETAINED:6,main BDQ virtual-mutation discovery scope
Rv1979c,primary_bdq,4019,641,122,2296,960,0,734,2325,960,3283,736,SYNONYMOUS_NO_PROTEIN_CHANGE:2296;REGULATORY_SCENARIO_UNSUPPORTED:960;NEGATIVE_LOF_REVIEWED:612;NEGATIVE_LOF_SIGNATURE:122;NEGATIVE_FUNCTION_RETAINED:29,main BDQ virtual-mutation discovery scope
atpE,primary_bdq,1187,45,1,67,1074,0,45,67,1075,1187,0,REGULATORY_SCENARIO_UNSUPPORTED:1074;SYNONYMOUS_NO_PROTEIN_CHANGE:67;ATP_SYNTHASE_COMPENSATION:45;ANALYSIS_FAILED:1,main BDQ virtual-mutation discovery scope
glpK,exploratory_bdq,4994,1813,147,2374,660,0,1865,2469,660,3127,1867,SYNONYMOUS_NO_PROTEIN_CHANGE:2374;NEGATIVE_LOF_REVIEWED:1718;REGULATORY_SCENARIO_UNSUPPORTED:660;NEGATIVE_LOF_SIGNATURE:147;NEGATIVE_FUNCTION_RETAINED:95,exploratory only; do not include in primary WHO denominator
lpqB,accounting_only_missing,0,0,0,0,0,0,0,0,0,0,0,,not present in current snapshot; report as limitation
mmpL5,primary_bdq,6418,817,9,4274,1318,0,0,6418,0,5599,819,SYNONYMOUS_NO_PROTEIN_CHANGE:4274;EFFLUX_PUMP_COLLAPSE:2144,main BDQ virtual-mutation discovery scope
mmpS5,primary_bdq,2046,64,2,660,1320,0,0,2046,0,1978,68,EFFLUX_PUMP_COLLAPSE:1386;SYNONYMOUS_NO_PROTEIN_CHANGE:660,main BDQ virtual-mutation discovery scope
mtrA,primary_bdq,3382,1104,53,1058,1167,0,2324,1058,0,2246,1136,MTRAB_DEREGULATION:2324;SYNONYMOUS_NO_PROTEIN_CHANGE:1058,main BDQ virtual-mutation discovery scope
mtrB,primary_bdq,5471,1560,123,2768,1020,0,2703,2768,0,3700,1771,SYNONYMOUS_NO_PROTEIN_CHANGE:2768;MTRAB_DEREGULATION:2703,main BDQ virtual-mutation discovery scope
pepQ,primary_bdq,3462,886,94,1822,660,0,947,1856,659,2513,949,SYNONYMOUS_NO_PROTEIN_CHANGE:1822;NEGATIVE_LOF_REVIEWED:853;REGULATORY_SCENARIO_UNSUPPORTED:659;NEGATIVE_LOF_SIGNATURE:94;NEGATIVE_FUNCTION_RETAINED:34,main BDQ virtual-mutation discovery scope
